,Unnamed: 0,Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Humidity
130,130,Semarang,2019,31813.44098640378,42802.357329371356,14.64949882124941,81.0
131,131,Semarang,2019,26756.277200384568,36101.62911934298,14.891777653876481,77.0
132,132,Semarang,2019,17183.29292116347,23143.922244628928,14.327307075878853,79.0
133,133,Temanggung,2019,7159.272427961576,9539.34357994325,13.256557665254148,81.43013905339706
134,134,Kendal,2019,749.0,898.0,11.98,82.11379222949161
135,135,Batang,2019,1.0,1.0,11.0,81.0
136,136,Pekalongan,2019,122.0,133.0,10.87,78.32060448126184
137,137,Pemalang,2019,-369.68578101224176,-501.15577427416247,10.19047205203796,75.43865436810984
138,138,Tegal,2019,7.0,7.0,10.29,74.0
139,139,Brebes,2019,2652.0,3391.0,12.79,75.14599423429695
140,140,Magelang,2019,6901.297882924784,8800.556666135652,16.998600712533182,78.0
141,141,Surakarta,2019,11574.887564454819,14739.427379624842,21.6456089241901,81.10685530125319
142,142,Salatiga,2019,15492.76296027057,19711.369521685465,25.460831421561302,82.71528837114501
143,143,Semarang,2019,17474.917986052496,22220.1404735354,27.17407499123734,81.0
144,144,Semarang,2019,16341.346557481065,20769.49761639254,25.51514641980877,77.0
145,145,Semarang,2019,10912.042590236746,13863.19833147478,19.213852493866142,79.0
146,146,Pekalongan,2019,7.0,5.0,7.0,81.30288356768897
147,147,Tegal,2019,,,,74.0
